Time,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_per_s,GyroY_deg_per_s,GyroZ_deg_per_s,AngleX_deg,AngleY_deg,AngleZ_deg,MagX_uT,MagY_uT,MagZ_uT
 20:35:10.858, -0.061, -0.075, -1.024, -1.587, -2.563, -6.531, 178.731, 3.549, -39.545, -26.425, -36.758, 9.717,
 20:35:10.967, -0.042, -0.035, -1.003, -0.244, 1.282, 2.075, 178.726, 3.735, -39.419, -26.367, -36.742, 9.325,
 20:35:11.060, -0.063, -0.038, -1.006, -0.610, -0.061, -3.784, 178.731, 3.691, -39.490, -26.425, -36.717, 9.117,
 20:35:11.154, -0.066, -0.002, -1.004, 0.366, 0.366, -1.892, 178.764, 3.708, -39.249, -26.325, -36.750, 8.908,
 20:35:11.264, -0.064, 0.018, -0.999, -0.183, 2.441, 1.709, 178.797, 3.878, -38.947, -26.317, -36.658, 9.550,
 20:35:11.358, -0.061, 0.017, -1.000, -0.122, 1.099, -0.122, 178.808, 3.796, -38.804, -26.358, -36.708, 9.783,
 20:35:11.451, -0.057, 0.018, -1.002, -0.305, 3.479, 0.305, 178.808, 3.587, -38.633, -26.308, -36.792, 9.442,
 20:35:11.562, -0.055, 0.017, -1.002, 0.000, 0.610, 0.671, 178.802, 3.417, -38.518, -26.300, -36.708, 9.467,
 20:35:11.653, -0.050, 0.019, -1.002, -0.061, 0.549, 0.000, 178.808, 3.307, -38.436, -26.517, -36.750, 9.150,
 20:35:11.763, -0.054, 0.018, -1.003, 0.122, 0.488, 0.488, 178.819, 3.153, -38.375, -26.567, -36.592, 9.425,
 20:35:11.857, -0.052, 0.018, -1.002, -0.061, -1.343, -0.061, 178.830, 3.257, -38.309, -26.533, -36.758, 8.808,
 20:35:11.952, -0.053, 0.016, -1.002, -0.122, 0.916, -0.305, 178.824, 3.257, -38.167, -26.592, -36.808, 8.758,
 20:35:12.061, -0.038, 0.025, -1.003, 0.000, 1.282, 0.610, 178.830, 3.159, -38.106, -26.617, -36.783, 8.583,
