xvalue,yvalue,time
-81,78,2024-07-12 20:35:13.315
-78,79,2024-07-12 20:35:13.419
-78,78,2024-07-12 20:35:13.524
-75,77,2024-07-12 20:35:13.641
-75,83,2024-07-12 20:35:13.738
-74,82,2024-07-12 20:35:13.854
-73,82,2024-07-12 20:35:13.947
-72,80,2024-07-12 20:35:14.052
-70,78,2024-07-12 20:35:14.152
-75,78,2024-07-12 20:35:14.259
-68,84,2024-07-12 20:35:14.362
-69,84,2024-07-12 20:35:14.469
-70,84,2024-07-12 20:35:14.572
-71,85,2024-07-12 20:35:14.676
-71,85,2024-07-12 20:35:14.780
-71,85,2024-07-12 20:35:14.886
-72,85,2024-07-12 20:35:15.004
-72,86,2024-07-12 20:35:15.145
-72,87,2024-07-12 20:35:15.200
-67,87,2024-07-12 20:35:15.303
-65,82,2024-07-12 20:35:15.410
-64,81,2024-07-12 20:35:15.529
-64,81,2024-07-12 20:35:15.622
-63,81,2024-07-12 20:35:15.730
-64,81,2024-07-12 20:35:15.829
-64,81,2024-07-12 20:35:15.933
-64,81,2024-07-12 20:35:16.038
-64,81,2024-07-12 20:35:16.143
-64,81,2024-07-12 20:35:16.247
-64,81,2024-07-12 20:35:16.352
-64,81,2024-07-12 20:35:16.458
-64,81,2024-07-12 20:35:16.562
-64,81,2024-07-12 20:35:16.668
-64,81,2024-07-12 20:35:16.786
-64,81,2024-07-12 20:35:16.878
-64,81,2024-07-12 20:35:16.991
-64,81,2024-07-12 20:35:17.086
-64,81,2024-07-12 20:35:17.208
-64,81,2024-07-12 20:35:17.297
